FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,-121.3819514,38.29083924
1,0,0,-121.3819686,38.29083996
2,0,0,-121.3819735,38.29084781
3,0,0,-121.3820135,38.29084924
4,0,0,-121.3820135,38.29083996
5,0,0,-121.3820285,38.29083853
6,0,0,-121.3820292,38.29084924
7,0,0,-121.3820721,38.29084924
8,0,0,-121.3820806,38.29085709
9,0,0,-121.3821113,38.29086137
10,0,0,-121.3821085,38.29091777
11,0,0,-121.3821192,38.29094275
12,0,0,-121.3821556,38.29094632
13,0,0,-121.3821813,38.29091277
14,0,0,-121.3822051,38.29091277
15,0,0,-121.3822437,38.29095739
16,0,0,-121.3822437,38.29100497
17,0,0,-121.382208,38.29102282
18,0,0,-121.3822348,38.29106149
19,0,0,-121.3822675,38.29110908
20,0,0,-121.3825382,38.29148087
21,0,0,-121.3826081,38.29157449
22,0,0,-121.3827509,38.29167442
23,0,0,-121.3830578,38.29198851
24,0,0,-121.3833077,38.29225977
25,0,0,-121.3834719,38.29257386
26,0,0,-121.3836361,38.2931021
27,0,0,-121.3836789,38.29322345
28,0,0,-121.3836646,38.29335194
29,0,0,-121.3836932,38.29370172
30,0,0,-121.3837146,38.29378739
31,0,0,-121.3837574,38.29404437
32,0,0,-121.3838645,38.29430849
33,0,0,-121.3839716,38.29450836
34,0,0,-121.3840215,38.29468682
35,0,0,-121.3840001,38.29472251
36,0,0,-121.3842928,38.29537924
37,0,0,-121.3844998,38.29572903
38,0,0,-121.3845855,38.29590035
39,0,0,-121.3846426,38.2959289
40,0,0,-121.3847425,38.29620016
41,0,0,-121.3849602,38.2964964
42,0,0,-121.3850495,38.29657849
43,0,0,-121.3850495,38.29664631
44,0,0,-121.3851601,38.29672483
45,0,0,-121.3854666,38.29701727
46,0,0,-121.3857581,38.29735039
47,0,0,-121.3860436,38.29781438
48,0,0,-121.3863351,38.2983914
49,0,0,-121.3863648,38.29851038
50,0,0,-121.3864838,38.29870073
51,0,0,-121.3866623,38.29948596
52,0,0,-121.3866563,38.29953355
53,0,0,-121.3867039,38.29968226
54,0,0,-121.3867574,38.30002134
55,0,0,-121.3866742,38.30057456
56,0,0,-121.3866504,38.30086604
57,0,0,-121.3866623,38.30098502
58,0,0,-121.3865611,38.30130624
59,0,0,-121.3864897,38.30158583
60,0,0,-121.3865195,38.30213906
61,0,0,-121.3868348,38.30318245
62,0,0,-121.3871679,38.30402002
63,0,0,-121.3872631,38.3043817
64,0,0,-121.3873773,38.30520023
65,0,0,-121.3874439,38.30559998
66,0,0,-121.3874534,38.30581889
67,0,0,-121.3874154,38.30607587
68,0,0,-121.3873773,38.30641852
69,0,0,-121.3873011,38.30668502
70,0,0,-121.3871108,38.30690393
71,0,0,-121.3869871,38.30718946
72,0,0,-121.3867491,38.30748451
73,0,0,-121.3865968,38.30762728
74,0,0,-121.3864826,38.30813173
75,0,0,-121.3863018,38.30887412
76,0,0,-121.3860448,38.30981639
77,0,0,-121.3860162,38.30994964
78,0,0,-121.3860257,38.31005433
79,0,0,-121.3859306,38.3101971
80,0,0,-121.3858687,38.3103597
81,0,0,-121.3858639,38.31051912
82,0,0,-121.3858735,38.31069758
83,0,0,-121.3858973,38.31074755
84,0,0,-121.3858854,38.31080466
85,0,0,-121.3858735,38.31082369
